Confusion Matrix:
           0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50    51    52    53    54    55    56    57    58    59    60    61    62    63    64    65    66    67    68    69    70    71    72    73    74    75    76    77    78    79    80    81    82    83    84    85    86    87    88    89    90    91    92    93    94    95    96    97    98    99   100
    0:  2336  4097     0     0     0     0     0     0     0     0     0     0     0   170     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   440     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   268     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    1:   899  4499     0     0     0     0     0     0     0     0     0     0     0    22     0     0     0     0     0   105     0     0     0     0     0     0     0     0     0     0     0     0     0   108     0     0     0     0   356     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   234     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    2:     3     0  2187     0     5     0     0     6     0     5     0     0     0     0   399     0    24     9     0     0     0     0     0     0     0    41     0     0     0    36     0     2   106     5     9     0     2     0     2     0     0    22   108     8     2    43     0     0     0     8    66     0     0     0     1    13   156    95    10     0     0    23     0     0    37     0    21     0     0   116     0     0     0     0   850     0   285     1   235     0   210     0   105    55     0    98     7     0     1    17     0   141   174     0     1     0     0     0   137    12   215
    3:     2   105    14  3505     0     0     0     0     0     0     0     0     8     2     0     2     0     0     3   116     0     1    29     0  1235     0     0     0     0     0     0     0     0    61     0     0     0     0     2     0    40     0     2    30     0    19     0     0     0    18     0     0     0     0    96     0     0     5     0    13     0     1     0     0     0     0     1     0     0     0     0    11    72    67     0     0     2    10     0     0     0     0    10     0     0     0   803     0     0     0     0     0     0     0    35     0     0     0     0     0     0
    4:     0     0     0     0  3236     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0    20     0     0     0     0     0     0     0     0   150     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0    10     0     0     0     0     0     0     9    49     0     0     0     0     0     0     0     0   105     0     0     0     0     0
    5:     0     0     0     0    21  5824     0     0   119     3     0     0     0     0     0    51     0     0     0     0     0     1     0     0     0     0    19     0     0   440   158     0     0     1     0     0     0     0     0    12     0     8     4     1     1     0     0     0     0     3     2     0   138     0     0     0     0    13     0     0     0     1     0     6     0     0    37     0     0     0    16     0     1     0     0     0   119     0    95     0     0     0     0     0     0     0   200     0     2     0     0     0     0     0     0     0     0     0     0     0     0
    6:     0     0   290     0     0     0  3301     5     0     0     0     0     0     0     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0    23     0     0     3     0     0     0     0     0     0    44     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    39     0     0     0     0   258     1     0    13     0     0     0     0    19     0     0     0     0     0     0     0     0     0
    7:     0     0     0     0     2     0     0  1556     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     5     0   104     0     0    16     0    32     0     0     0     0     0     0     0     0     0     0     0     0     0    26     0     0     0     0     0     0     0     0     0     0     4     0     0     0     0     0     0     0     0     0     0     0     3     0    34     0     0     0     0     0     0     4     0    81     0     0     0     0   221     0     8     0     0     0     0     0  1187     3    13     0    11   611     0     0     0     2
    8:     0     0     0     0     0     0     0     0  2130     0     0     0     0     0     0     4     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    9:     0     0     0     0     0     0     0     0   111  3162     0     0     0     0     0    37   214     2     0     0   347     0     0     0     0     0     0     0    92     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1312     0     0     0     0     8    13     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    15     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0
