Average: 0.685361
Micro Average: 0.685361
Macro Average: 0.650120
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49       50       51       52       53       54       55       56       57       58       59       60       61       62       63       64       65       66       67       68       69       70       71       72       73       74       75       76       77       78       79       80       81       82       83       84       85       86       87       88       89       90       91       92       93       94       95       96       97       98       99      100
 0:     3637     3127        0        0        0        0        0        0        0        0        0        0        3      160        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        5        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      363        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       14        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 1:      124     5008        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      516        0        0        0        0        0        0        0        0        0        0        0        0        0       24        0        0        0        0      229        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      319        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 2:        0        0     2534        0        0        0        0        0        0        0        0        0        0        0      262        0       13      259        0        0        0       83        0       19        0       98        1        0        3        0        0        1      145       13        0        0        0        0        9        2        0      423        3        4        2       21        5        0        8        2        4        9        0        0        0        0      260        4        2        0       27        1        0        0        0        3        0        1        0      464        0        0        0        0       93        8      222        0      234        0      166        0       26        2        0        0        1        0        0       21        3       56      362        5        0        0        5        2      191        0       32 
 3:        1       48       57     5027        0        0        0        0        0        0        0        0        0       15        0        0        0        1        0       51        0        0        0        0      777        0        0        0        0        0        0        0        0        5        3        0        0        4        1        0        2        0        0        0        0        0        0        0        0        9        0        0        0        0       95        0        0        0        0        2        0        0        0        0        0        2        0        0        0        0        0       26       69       42        0        0        0        6        0        0        0        0        0        0        0        0       77        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 4:        0        0        0        0     3041        3        0        0       32        0        0        0        0        0        0        2        0        0        0        0       93        0        0        0        0        0        0        0        0       69        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       16        0        0        0        0        0       47        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       21        0        0        0        0        0        0        0      109        0        0        0        0        0        0        0        0      150        0        0        0        0        0 
 5:        1        0        0        0        0     6376        0        0      237       24        0        0        0        0        0        6        0        0        0        0        0        2        0        0        0        0        5        0        0        1       54        0        0        0        0        0        0      191        4        0        2        1       10        0       10        0        0        0        0        3        0        0       64        0        0        0        0        3        0        0        0        1        0        0        0        0       34        0        0        0       13        0        2        0        0        0      179        0        3       10        0        0        0        0        0        0       57        0        3        0        0        0        0        0        0        0        0        0        0        0        0 
 6:        0        0      223        0        0        0     3358       64        0        0        0        0        0        0       63        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      137        0        0        0        0        0        0       32        8        8        0        0        0        0        0        0        0        0        4        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       46        0        0        0        0       55        2        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0 
 7:        0        0        0        0        1        0        0     2044        0        0        1        0        0        0        1        0        0        0        0        0        0        1        0        6        0       63        0        0       29        0        0        0        0        0        0        0        0        0        0        0        0       16        0        0      190        0        0        0        0        0        0        0        0        0        0       12        0        0        0        0        0        0        0        0        0        0        0        3        0       30        0        0        0        0        0        0        0        0        6       29        0        0        0      167        0        8        0        0        0        0        0      776       11        6        0        4      518        0        0        1        0 
 8:        0        0        0        0        0        0        0        0     2126        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        7        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0 
 9:        0        0        0        0        0        0        0        0        7     4917        0        0        0        0        0        0        0        0        0        0      261        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      130        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
10:        0        0       49        0        3        0        0        9       49        0     6611        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0       47        0        8        3        0        0        0        0        0      248       22        0        6        0        0        0        3        0       25        0        0        0        0        0        0       11        0        0        5        0        0        0        0        0        0        0        0        0        0        0        1        0        0        4        0        0       13     1244        0        1        0       77        0        0        0        0       75        0        0      208       60      116        0        0        8       39        0        0        0 
11:        0        0        0        0        0        0        0        0        0        0        0    12714        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
12:      111       56       22        0        0        0        0        0        0        0        0        0     1844       22        0        1        9        2        0      499       37        0        0        0        0        0        3        0        0        0        0        0        0     2287       37        0        0        0      350        0        0        0       80      117        0        1        4        0        0        0        0        0        0        0       16        0        0       21        0       81        0       77        1        0        0        4       15        0        0        1        0        0        0       49        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
