Confusion Matrix:
           0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50    51    52    53    54    55    56    57    58    59    60    61    62    63    64    65    66    67    68    69    70    71    72    73    74    75    76    77    78    79    80    81    82    83    84    85    86    87    88    89    90    91    92    93    94    95    96    97    98    99   100
    0:  4643  2191     0     0     0     0     0     0     0     0     0     0     0   170     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   258     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    47     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    1:   379  4809     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0   469     0     0     0     0     0     0     0     0     0     0     0     0     0    13     0     0     0     0   249     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   299     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    2:     0     0  2550     0     0     0     0     0     0     0     0     0     0     0   786     0     2    52     0     0     0    45     0     2     0    61     4     0     0    28     0     0   148    10     3     0     0     0     2     0     0   434    32     0     0    28     2     0     5     2     0     0     0     0     0    12   328    24     4     0    13     1     0     0     2     1     0    27     0   131     0     0     0     0    65     0   134     0   273     0   222     0    12     7     0     0     0     0     3    84     0   106   212     0     0     0    46     0   168     4    39
    3:     1     5    47  5139     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0    47     0     0     0     0   825     0     0     0     0     0     0     0     0     3     2     0     0     2     0     0     9     0     0     0     0     0     0     0     0     1     0     0     0     0    59     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    35    59     9     0     0     0     6     0     0     0     0     0     0     0     0    66     0     0     0     0     0     0     0     0     0     3     0     0     0     0
    4:     0     0     0     0  3294     0     0     0    16     0     0     0     0     0     0     0     0     0     0     0    13     0     0     0     0     0     0    11     0    50     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     4   157     0     0     0     0     0     0     0     0    31     0     0     0     0     0
    5:     0     0     0     0     0  6374     0     0   224    26     1     0     0     0     0     6     0     0     0     0     0    11     0     0     0     0     2     0     0   162   109     0     0     0     0     0     0   108     3     0     0     0     2     0    21     0     0     0     0     0     1     3    22     0     0     0     0    12     0     0     0     0     0     0     0     0     8     0     0     0     1     0     0     0     0     0   177     1     1     5     0     0     0     0     0     0    13     0     3     0     0     0     0     0     0     0     0     0     0     0     0
    6:     0     0   216     0     0     0  3311    78     0     0     0     0     0     0     0     0     0     0     0     0     0     0    19     0     0     0     0     0     0     0     0     0    45     0     0     0     0     0     0    39    22     1     0     0     1     0     0     0     0     0     8     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   260     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0
    7:     0     0     0     0     0     0     0  2101     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0    33     0     0    48     0     0     0     0     0     0     0     0     0     0     2     0    13     0     0    87     0     0     0     0     0     0     0     0     0     0    14     0     0     0     0     0     0     0     0     0     0     0    13     0    29     0     0     0     0     0     0     0     0     9   176     0     0     0    66     0     3     0     0     0     0     0  1090     2     9     0    18   208     0     0     0     0
    8:     0     0     0     0     0     0     0     0  2134     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    9:     0     0     0     0     0     0     0     0    10  5109     0     0     0     0     0     0     0     0     0     0   146     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    50     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
