Average: 0.701420
Micro Average: 0.701420
Macro Average: 0.669225
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49       50       51       52       53       54       55       56       57       58       59       60       61       62       63       64       65       66       67       68       69       70       71       72       73       74       75       76       77       78       79       80       81       82       83       84       85       86       87       88       89       90       91       92       93       94       95       96       97       98       99      100
 0:     4156     2711        0        0        0        0        0        0        0        0        0        0        2      137        0        0        0        0        0       38        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0       19        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      217        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       28        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 1:      235     4609        0        0        0        0        0        0        0        0        0        0       20        3        0        0        0        0        0      815        0        0        0        0        0        0        0        0        0        0        0        0        0       33        0        0        0        0      292        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      214        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 2:        0        0     2499        0        0        0        0        0        0        0        0        0        0        0      784        0        3       82        0        0        0        0        0        0        0       36        8        3        0       99        0        0      144        8        3        0        0        0        6        0        0      167      132        0        0       18        6        0        0        2        0        1        0        0        0        9      186       13        3        0        3       12        0        0        9        0        0        8        0       89        0        0        0        2      246        0      294        0      306        0      223        0       37        7        0        0        0        0        2      202        0       88       69        0        0        0       44        0      170        5       86 
 3:        0        0       46     4722        0        0        0        0        0        0        0        0        9        0        0        0        1        1        4      185        0        0        3        0      838        0        0        0        0        0        0        0        0        4       12        0        0        3        4        0        9        0        0        0        0        0        0        0        0        3        0        0        0        0       47        0        0        9        0        0        0        0        0        0        0        0        0        0        0        0        0       42       46       26        0        0        0        3        0        0        0        0        0        0        0        0      280        0        0        4        0        0        0        0        0        0       19        0        0        0        0 
 4:        0        0        0        0     3135        0        0        0       35        0        0        0        0        0        0        3        0        0        0        0       97        0        0        0        0        0        0       17        0       61        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        4      202        0        0        0        0        0        0        0        0       28        0        0        0        0        0 
 5:        0        0        0        0        0     6225        0        0      235       22        6        0        3        0        0       10        0        0        0        0        0        6        0        0        0        0        1        0        0      341      108        0        0        0        0        0        0       30        2        0        0        0        3        0       20        0        0        0        0        0        3        7       19        0        0        0        0       14        0        0        0        1        0        0        0        0       16        0        0        0        0        0        0        0        0        0      208        1        0        4        0        0        0        0        0        0        8        0        3        0        0        0        0        0        0        0        0        0        0        0        0 
 6:        0        0       89        0        0        0     3255      206        0        0        0        0        0        0        0        0        0        0        0        0        0        0       79        0        0        0        0        0        0        0        0        0       46        0        0        0        0        0        0       40       19        0        0        0        0        0        0        0        0        0        8        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0      257        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0 
 7:        0        0        0        0        0        0        0     1916        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       33        0        0       42        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       82        0        0        0        0        0        0        0        0        0        0       20        0        0        0        0        0        0        0        0        0        0        0       14        0       31        0        0        0        0        0        0        0        0       12      191        0        0        0       23        0        3        0        0        0        0        0     1177        0       13        0       28      338        0        0        0        0 
 8:        0        0        0        0        0        0        0        0     2134        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 9:        0        0        0        0        0        0        0        0       31     4705        0        0        0        0        0        0        0        0        0        0      285        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      294        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
10:        0        0        5        0       10        0        0        5        3        0     6935        0        0        0        0        0        0        0        2        0        0        4       10       16        0        0        0        0        0        0        3        0       31        0        3        0        0        0        0        2        0      197       13        0        0        0        0        0        0        0        3        0        0        0        0        0        0       29        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       27        0        0       16     1107        0        2        0       86        0        0        0        0       44       13        0      249       63       57        0        0        1       10        0        0        0 
11:        0        0        0        0        0        0        0        0        0        0        0    12714        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
12:       33       74        0        0        0        0        0        0        0        0        0        0     2346        3        0        2        1        0        0      448        0        0        0        0        0        0        1        0        0        0        0        0        0     2222      188        0        0        0      197        0        0        0        0       11        0        0        5        0        0        0        0        0        0        0       18        0        0       11        0      121        0        9        9        0        0        5       12        0        0        2        0        0        0       13        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1       18 
13:        0        0        0        0        0        0        0        0        0        0        0        0       75     2788        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        7        3        0        0        0        0       27        0        0        0        0        0        0        4        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        1        0        0       77        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        3        0        0        0        0        0 
14:        0        0       22        0        0        0        0        0        0      229        5        0       11        0      805        0       23        4        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0      337        0       42        4        0        0        0        0        0      465       41      305        0        0        0      148        0        0      277       14        0        6        0       11        0       30        0        0        0        5       75        0        0        0       22        0        0        0        2        0        3        2        0        0        0        0        0        0        0      193        4        0        0       32        0        0        0        0        0        0        0        0      576        0        1 
15:        0        0        0        0       84        0        0        0       25        0        0        0        0        0        0     5174        0        0       85        0       47        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0        7        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       36        0        7        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
16:        0        2       30        0        0        0        0        2        0        1        0        0        2        0        2        1     4278     1907        0        0     1162        2        1        0        0        1        0        2        0        0        0        0        0       67        0        0        0        0       58        0        0        0        1        0        1        1        0        0        0        0        0      152        0        0        0        5        0        1        0        0        0        0       30        0        0        1        4        0        0        3       40        0        0        0      513        0        0        1       27        0        0        0        0        0        0       26        0        0        0        0        0        0        0        0        0        0        0        0     1517        0       22 
17:        1        0        0       23        0        0        0        0        0        0        0        0      229       15        0        0      304     3964        0       93        0        0        0        0        0        0        0        0        0        0        0        0        0       21     1769        0        0        0      178        0        0        0        0        0        0        0        0        0        0       67        0        0        0        0        0        0        0        1       29       94        0        0        0        0        0        0       56        0        0     1283        0        0        0        1        0        0        0      217        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0 
18:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0     4869        0        0        3        0        0        0       23        0        0        0        0        0      109        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        5        0        0        0        0        0        7        0        0        0        0        0       82        0        0        0        0        0        0        0        0        0        0        0        0        0 
19:      879      702        0        0        0        0        0        0        0        0        0        0       62       47        0        0        0        4        0     3092        0        0        0        0        0        0        0        0        0        0        0        0        0       61        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       41        0        0        0        0        0        0        0        3        0       81        0      483        0        0        0        0        0        0        0       23        0        0        0        0        0        0        0     4616        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0 
20:        0        0        0        0      314        0        0        0        0        0        0        2        0        0       22        0       33        0        0        0     4106        0        0        0        0        0        0       37        1      269        0        0      726        0        0        0        8        0        0        0        0        0        0       37       35        2        8       66        0        0      104        1        0        0        0        0      195       13        0        0        0        0        0        0        0        0        0        0        0       18        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0      346       17        0        0        0        0        0        0        0        0        7        0        0        0       10        0 
21:        0        0        0        0        3        0        0      182        0        0        0        2        3        0        0        0        8        0        6        0        2     1824        0        8        0       12        5        0        0        0       32        0        2        2        0       48        0        0        0        0        1       25        7        5        9        0       36        0      119        0        0        0       14        1        0        0        0        0        0        0        0        2        0        0        0        3        0       16        2        6        0       12       22       84       39       14        2        0        5        5       65       47      307       14        0       31        0      156        0        1        0        1        2       83        0        5        0        1        1        2       15 
22:        0        0        0        0        4        0        0       12        0        0        0        0        0        1        0        0       10        0        0        0        0        0     2189      262        0        0        0       43      104      285        2        0        0        0       52        0        0        3        0        4        0        6        0       59       57        0        0        0        0        0        1        0        0        0        7      106        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        3       11        0        0      350      379        0        0        0        0        0        0        0        0        0       18        4        0        0        0        0        0        0        0        0        0 
23:        0        0        0        0        0        0       80        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0     1257     2195        0        0        0        0       52        0      197        0      145        0       35      189        0       17        0        0        9        0        0        0        5        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        6        0        0        0        0        0        0        0        0        9        0        0        0        0        0        0        0        0       19        0        0        0        0        4        0        0        0        0      224        0        7        1      280       44        0        0        0        0        5        0        0 
24:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        9        0        0        0        0     5817        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        4        0        0        0       31        0        0        0        5        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
25:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0     7671        0        0        0        6        0       38        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       44        0        0        0        0        0      145        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
26:        0        0        0        0        4       10        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        9        0        0        0        1    10238        0        0        0        0        0        0        1        0        0        0        0        0        4        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        1     1798        2        0       45        0        0        0        0        0        0        5        0        0        9        1        0        0        0        0        0        0        0        0        0        0        0        7        0        0        0        0        0        0       11        0       33        0        0        0        0        0 
27:        0        0        0        0        5      192      340        0        0        2        0        0        0        0        0        5        0        0        0        0       54        0        0        0        0        0        0     3744        0        4        0        0        0        0        0        0        0        0        0        0        1        2        0        0        5        0        0        0        0        0       24       52        0        0        0        0        6        5        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       49        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       13        0        0        0        8        0        0        0        0        0 
28:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0     2782        0      948        0        0        0        0        0        0        0        0        0        0       10        0       14        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      537        0        0        0        0        0        0        6        0        0        0        4        0        0        0        0        0 
29:        0        0        0        2      475        0        0        0        3        0        0        0        0        4        1       17        0        0        0        0        0        0        0        0        6        0        0        0        0     4313        0        0        0        0        0        0        0        0        0       36        0        0        0      210       42        0        8        0        0        0        0        1        0        0        0        0      102        0        1        0        0        0        0        0        0        0        0        0       15        0       52       55        0        0        0        0        0        0        0        0        0        0        0        1        0      116        9        0        0        0        0        4        0        0        0       40        0        0        0        0        0 
30:        0        0        0        0        0        0        4        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0      131       25        0        0        0        0       75       15     2776        1        0        0        0        1        0        0        0       12        3        0        0        0       10        0        0        0        0        0        9        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       47        0        0        0        0        3       88        0        0       13        0        0        4       13        0        0        0        0        0        0        0        0        4 
31:        0        0        0        0      104        0        0        0        0        0        0        0        0        0        0        0        2        0     4593        0        0        0        0        0        0       33        0        0        0      191        0     1862        0        0        0        8        0        0        0        0        0        0        0        7        0        0        0        0        0        7        0        0        0        0        0        0       18        0        0        0        0        0        0        0        0        0        0        0        0        0       16        0        0        8        0        1        0        0        0        0        0      150      144        0        0        0        0       15        0        0        0        0        0        0        1        0        0        0        0        0        0 
32:        0        0        4        0        0        0        0        7        0        0        0        0        0        0        0        0        0        0        0        0        0        0       27        0        0        0        0        0      379        0      832        0     4736        0        0       10        0       18        0        0        0        0        0        0        0        0        0        0        0        0       55        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0       65        0        0        0       20      283        0        0        0        0        0        0       16        0        0        0        0        0        0        0        0        0        0 
33:        0        0        0      213        0        0        0        0        0        0        0        0      848        0        0        0        3       39        0        0        0        0        0        0        5        0        0        0        0        0        0        0        0     2145        0        0        0        8      236        0        0        0        0        0        0        0        5        0        0        0        0        0        0        0        2        0        0       19        0        9        0        0        0        0        0        0       13        0        5        1        0        3        0        0        0        0        0       36        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
34:        6        0      112        0        0        0        0        0        0        0        1        0        0        0        0        3        4        3        0      583        1        0        0        0        1        0        0        0        0        0        0        0        0       96     1268        0       20        0      524        0        0        0        0        0        0        0        4        0        0      173       12       13        0        0      586        0        0        3        0        0        0        0        0        0        0        0        0        0        0       12        0        1        0        0        3        0        0        5        0       58        0        0        0        0        0        1        3        0        3        0        0        0        0        0        0        0        0        0        0        0       22 
35:        0        0        0        0        1        0        0        0        0        0        0        0        0        0        5        0        0        0       18        0        0        0        0       22        0        0        0        0        2        0        1        0        4        0        0     4788        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        4        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      420        0        0        0        0       17        0       13        0        0        0        0        0        0     3045        0        0       22        0        0        0        0        0 
36:        0        0        0      115        0        0        0        0        0        0        0        0        0       10        0        0      801        0        0        0        0        0        0        0        0        0        0        0        2       13        0        0        0        0        0        0     2022       20        0        0        0        0        0        0        0        0        0        0        0        0        0       79        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       32        0        0        0        0        5        0        0        0        0        0        0        0        0        0       27        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
37:        0        0        6       63        0       84        0       61       75       18        0        0       26        0      339       78      179        1        0        3      191        0      108        2        0        0        0        0        0        0       63        5      241        0       28        0      600      102       12        0        0        0       30        0        0       62      115      171        0        2       10      148       20        0      122        0      105       35        0        0        0        0        0        0        0        0        0        0        0      323        0      171        0        0        7        1       23       51      250      266        0        0        0      129        0       33       50        0        0        9        0      139       35       15      337        0      118       27       23        0        0 
38:        0        0        0        0        0        0        0        0        0        0        0        0      561        2        0        2        0       95        0        4        0        0        0        0       15        0        0        0        0        0        0        0        0      553       86        0        0        0     7247        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        0      133        0       42      103        0        0      113        0        0        0        0        2        0        0        0        0        0        0      247        0        0        0        0        0        0        0        0      232        0        0        0        0        0        0        0        0        0        0        0       11        3        0 
39:        0        0        0        0       23        0        2        0       65        0       11        0        0        0        2       25        0        0       55        0       46        0        0        0        0       35        0       71        0      416        0        0        0        0        0       43        0        0        0      978        0       52        0       21      962        0        0        0        0        0      444        2       74        0        0       81      215       42        0        0        1        0        0        0        0        0        0      254        0        0      118        1        0        0      100       24       20        0       25        1        7        0        2        0        0      138       41        0       16       40        0        6       23        6        0        0      107        3        0        0        0 
40:        0        0        0        0        0        4        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0      330        0        0        0        0        0        0        0        0        0     6294        8        0        0        0        0        0        0        0        0        0        0        8        0        0        0       13        0        0        0        0        0        0        0        0        0        0        0        0        0        5        0        0        0        0        0        0        0        0        0        0        0        0        0       18        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0 
41:        0        0        0        0        0        0        0        4        0        0       38        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       37        0      127        0       81        0        0        7        0        0        0        0        0     8357        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        6        0        0        0        0        0        7        2       13        0        0        0        0        6        0        0        0        0        4        0        0        0        0        0        0        0 
42:        0        0        0        0        0        0        0        5        0      126       42        0        0        0       17        0        0        0        0        0        1        0        0        0        0        0        2        0        0        0        0        0        0        0        0       14        0        0        0        2        0        0     1937        0       69        0        0       46        0        0        0        3        0        0        0        0        0      382       17        0       22        0        1        0        0        3        0        2        4        1        0        9        1        0        0      104      297        0        1        3        0        0        0       32        0        0        1        0       59        3        0        0       13       63        0       26        0        0        0        0      182 
43:        0        0        0        0        2        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        8        3        0        0        0        0        0        0       25        0       49        0        0        0        0        0        1        0        0        0        0        0    11132        2        0        0        7       20        0        0        0        0        0        0        6        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       22        0        3        0       16        0       66        0        0        0        5       60        0        0        3        0        0        0        0        0        0        0        0        0        0 
44:        0        0        0        0        0        4        3        0        2        0        6        0        0       20        0        5       19        0        4        0        0        0        2        0        0        0        0        0      118        2        9        0        7        0        0        0        0        0        2      292        4        0      101       38     1910        0        0        0        0        0      345        0        0        0        0        0        0       11        0        0        0        0        0        0        0        0        8       13        0        0       37        0        0        0        8        8        1        0       10      120        1        0        0        4        0        0        1        0        1        2        0      267       44       14        0        0        7        1        0        5        2 
