Average: 0.329634
Micro Average: 0.329634
Macro Average: 0.296588
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49       50       51       52       53       54       55       56       57       58       59       60       61       62       63       64       65       66       67       68       69       70       71       72       73       74       75       76       77       78       79       80       81       82       83       84       85       86       87       88       89       90       91       92       93       94       95       96       97       98       99      100
 0:     3351     3284        0        0        0        0        0        0        0        0        0        0      156        2        0        0        0        0        0      393        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        5        0       48        0        0        0        5        0        0        0        0        0        0        0        0        0        0        0        6        0       58        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 1:       48     4169        0        0        0        0        0        0        0        0        0        0        0       55        0        0        0      479        0      563        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      909        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 2:        0        3      276        0       19        0        3      263        0        0      222        0        0       60       43       44      635      142        0       14        0      172       16       83        0        9       13        0        0        0       67        0      505        0        0        0        0        0        0        0        0      232       31        4        0      113       13       14       10        0        0        2        0        0        0        0        0      117       93       30        3      313        0        0        0       41       56        0        0        0      120        0       12        0       27       85        1        0        5        0        0        0        0      169        0       26        0        0      909      187        2        0        5      249        0        3      634       19        0        0        0 
 3:        0      192      249     1803        0        0        0        0        0        0      152        0       19        4        0        0       11       47       11       15        0        9        3        0     1264        0        0        1        0        0        0        0        0       20        0        0      241        0       36        1        8        0        0        0      186      440        1       29       23        0        0      232        0        0      102       90        0        4        0      150        0        0        0        0        0        1        0        0        0        0        2        3      274        0       15        0      122       33        0       71       36        0        0        0        7       15        1        0        0      228      157        0        0        0        0        0        0        8        0        4        0 
 4:        0        0        0        0      906        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      517        0      262        0      159        0        0        0        0        0        0        0        0        0        0        8        0        0        0        0        0        0        0        0        0       21        0        0        0        0        0      148        0        0        0        0        0        0        1        0        0        1       75        0        0       57        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1       74        0        0        0        0        2        0        0        0     1313        0        5        0        0       30 
 5:        0        0        0        0        1     2550        0      205        0        0       10        0       82        0        1        0        9        0        0        0        0        0        0        0        0        4        8        0        0        0      433        0        0        0        0        0        0      482        7        0      185        9        0        4        0        0       28        0        0        0        0        0      634        0        0        0       16        0        0       94        0       28        0        0        0       33        0        0        4        0      307        0       20        0        0        0       27        0        3       25        0        0        5        0        0        0     1287        0        0       16        0        0        0      103        0      676        0        0        0        0        0 
 6:        0        4        3        1        0        0      484        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      338      441        0        0        0      368        0        0       10        0       15        0        0        0        0        0        0      406        4      369        0       13        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      114        0        0        0        0        0        0        0        0        0        0      651        0        0        0        0        0      746        0        0        0       19        0        0        1        0        0        0        0        0        0        0        0       16 
 7:        0        0        6        0        4        0        0     1439      111        0        0        0        0        0        3        0        0        0        0        0        2      338      705        0        0        5        1        0       17      110        0        0       80        0        0        0        0      454        0        0       39        1        0        0       38       10       16      130        3        0        0        2        0        0       30        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0       10        0        0        0       24        0      132        0        0        1      167       11        3        0        2        0        0       19        0        0        6        0 
 8:        0        0        8        0       47        0        0        0     1301        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       97        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      101        0        0        0        0        0        0        0        9        0        0        0      149        0        0        0        0        0        0       23        0        0        0       24      108        0        7        0       94        0        0        0        0        0        3        0        7        0        0        0        0        0      127        0        0        0        0        0        0        0        5       24        0        0        0        0        0 
 9:        0        0       56        0      425       14        0        0      134       22        7        0       26        0        0       20       32     2738        0        0        1        0        0        0        0        0       27        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0      320        0      510        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0       11        0        0      484        0        4        0        0        0      363        0      118        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
