Average: 0.444614
Micro Average: 0.444614
Macro Average: 0.403187
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49       50       51       52       53       54       55       56       57       58       59       60       61       62       63       64       65       66       67       68       69       70       71       72       73       74       75       76       77       78       79       80       81       82       83       84       85       86       87       88       89       90       91       92       93       94       95       96       97       98       99      100
 0:     4266     2095        0        0        0        0        0        0        0        0        0        0       14      128        0        0        0        0       15        0        0        0        0        0        0        0        0        0        0        0        0        0        0      333      107        0        0        0        0        0        0        0       25        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      328        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 1:      470     4217        0        0        0        0        0        0        0        0        0        0        0       31        0        0        0        0        0      314        0        0        0        0        0        0        0        0        0        0        0        0        0       67        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        5        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0     1119        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 2:        0        0     1024        0       20        0       11      165        0        0      163        0        0        0      326        1      589       67        0        2      149      316        1        9        0        0        1        0        0        0        0       25      107        0       18        0        0        0        6        9        0      295      281        0        0       76        5        0        0        0       25        0        0        0       72        9       26      266       51        0        0      140        2        0        0       33        0       82        0      293       51        0        0        0       77       21        0        0       17       15       36        0       62        0        0       28        0        0      277       30        0       55      285      491        0        0        4        0        0        0        0 
 3:        0      240        0     3138        0        0        0        0        0        0       97        0       11      681        7        0        6        0       32        3        0        0        0        0      870        0        1        0        0        0        0        0        0        0       65        0        0        1      208        0        1        0       46       17        0        0        0        0        0        0        0        0        0        2       86       24        0        0        0        0        0        0        0        0        0        0        0       12        0        0        0      174       87        0        0        0      371       84        0       31        8        0        0        0        0        1        0        0        0       12        4        0        0        0        0        0        0        0        0        0        0 
 4:        0        0        0        0     1797        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0       10        1       29        0       32        2        0        0        0        0        0        0        0        0        5        0        0        0        1        0        0        0        0        0        0      105        0        0        0        0        0      396        0        0        0        0        0        0        0        0        0        0        0       16        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       73        0        0        0        0        0        0        0        0     1112        0        0        0        0        0 
 5:        0        0        0        0       21     1399        0      110      166       58       36        0        5       11        5        5        8        0        0        0        0       74        0        0        0        0      127        0        0        0       43        0        0        0        0        0        0      144       41        0        0       29        5       14      246        0        2        0        0        0        1        0     2226        0        0        0        1        0        0       13        0       33        0        0       11        0        0        2        0        0       67        0       54        0        0        0       38        0        0      154        0        0        7        0        0        2     1763        0        0        0        0        0        0       53        0      320        0        2        0        0        0 
 6:        0        0       90        4        0        0     2126        0       28        0        0        0        0        0        0        0        0        0        0        0        0        0        0       48        0        0        0      228       19        2        2        0      270        0        0        0        0        0        0       20        0      295        0       68      116        0        0        0        0        0      321        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      122        0        0        0        0        0        0        0        0        0        0      179        0        1        0        0       28       10        0        0        0        0        0        0        1        0        0        0        0        0       24        0        0        1 
 7:        0        0       16        0        0        0        0     1929      110        0       18        0        0        0       13        0       14        0        0        0      128        0      117        0        0        3        0        0       59      204        0        0       31        0        0        0        0       76        0        2        0        0        0        0      358        3        0        0        0        0        1        0        0        0       50        0        0        0        0        0        0        0        0        0        0        0        0       56        0       12        0        0        0        0        0        1        6        0        0       34        0        0        0      581        0       14        0        0        2        0        0        0        1       58        0        0       23        3        0        0        0 
 8:        0        0        0        0       24        0        0        0     2013        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        1        0        0        0        6        0        0        0        2        3        0        0        0        0        0       15        0        0        0        0        0       21        0        0        0        0        0        0        0        0        0        0        0        7        0        1        0        1        0        0        0        0        0        0        0        8        0        0        0        0        0       14        0        0        0        0        0        0        0        0       16        0        0        0        0        0 
 9:        0        0        0        0        0        0        0        0       65     1355        1        0       31        0       84        0      440      769        0        0     1035        0        0        0        0        0      332        0        3        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0      188       25        0        0        0        0        0        0        0        0       27       16        0        0        0        0        0        0        0        0        0        3        0        0        1      510        0       50        1        0      315        0        0        0        0       10        0        0        0        0        0        4        5        0        0        0        0        0        0        0        0        0        0        0        0        0       44 
