Average: 0.098000
Micro Average: 0.098000
Macro Average: 0.017851
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:      980        0        0        0        0        0        0        0        0        0 
 1:     1135        0        0        0        0        0        0        0        0        0 
 2:     1032        0        0        0        0        0        0        0        0        0 
 3:     1010        0        0        0        0        0        0        0        0        0 
 4:      982        0        0        0        0        0        0        0        0        0 
 5:      892        0        0        0        0        0        0        0        0        0 
 6:      958        0        0        0        0        0        0        0        0        0 
 7:     1028        0        0        0        0        0        0        0        0        0 
 8:      974        0        0        0        0        0        0        0        0        0 
 9:     1009        0        0        0        0        0        0        0        0        0 
