Average: 0.992100
Micro Average: 0.992100
Macro Average: 0.992032
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:      977        0        1        0        0        1        0        1        0        0 
 1:        0     1133        1        0        0        0        1        0        0        0 
 2:        1        2     1013        3        0        4        2        7        0        0 
 3:        0        0        0     1006        0        3        0        0        1        0 
 4:        0        1        0        0      976        0        2        0        0        3 
 5:        1        0        1        6        0      879        4        0        0        1 
 6:        4        0        0        0        0        0      953        0        1        0 
 7:        0        4        1        0        0        1        0     1022        0        0 
 8:        0        0        4        2        0        0        0        0      967        1 
 9:        0        0        3        1        6        1        0        3        0      995 
