Average: 0.992500
Micro Average: 0.992500
Macro Average: 0.992446
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:      977        0        1        0        0        1        0        1        0        0 
 1:        0     1135        0        0        0        0        0        0        0        0 
 2:        0        3     1014        0        0        5        3        6        1        0 
 3:        0        0        0     1004        0        5        0        0        1        0 
 4:        0        1        0        0      978        0        0        0        0        3 
 5:        1        0        0        1        0      886        3        0        0        1 
 6:        5        2        1        0        0        1      947        0        2        0 
 7:        0        5        1        0        0        1        0     1021        0        0 
 8:        0        0        2        2        0        1        0        0      968        1 
 9:        0        0        2        0        7        0        0        4        1      995 
