Average: 0.936500
Micro Average: 0.936500
Macro Average: 0.935815
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:      865        0       18        0        0       49       20        1       26        1 
 1:        0     1103        6        0        5        1        6        4       10        0 
 2:        2        1      975        0        0       13        1       38        1        1 
 3:        0        0       58      839        0       87        0       15       10        1 
 4:        0       14        7        0      924        0       30        0        1        6 
 5:        0        0        1        0        0      887        1        1        2        0 
 6:        5        2        2        0        1        8      924        0       16        0 
 7:        1        2       15        1       15       39        0      948        1        6 
 8:        1        0        1        0        0        1        0        0      969        2 
 9:       63        0        4        0        1        4        2        0        4      931 
