Average: 0.941100
Micro Average: 0.941100
Macro Average: 0.940641
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:      976        0        2        0        0        1        0        1        0        0 
 1:        0     1126        8        0        0        1        0        0        0        0 
 2:        2        0     1016        0        0        0        0       14        0        0 
 3:        8        0      111      787        0      102        0        2        0        0 
 4:        1       12        1        0      965        0        1        0        1        1 
 5:        8        0        6        0        0      869        3        2        0        4 
 6:       26        5       23        0        6       15      882        0        1        0 
 7:        0       27       40        3        2        0        0      956        0        0 
 8:       19        1        8        0        2        6        1        0      935        2 
 9:       50       15       10        0       18        1        0        5       11      899 
