Average: 0.995600
Micro Average: 0.995600
Macro Average: 0.995551
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:      978        0        1        0        0        1        0        0        0        0 
 1:        0     1134        0        0        0        0        1        0        0        0 
 2:        1        0     1027        1        0        1        2        0        0        0 
 3:        0        0        0     1010        0        0        0        0        0        0 
 4:        0        0        0        0      978        0        0        0        1        3 
 5:        1        0        0        3        0      886        1        0        0        1 
 6:        3        2        0        0        0        1      950        0        2        0 
 7:        0        2        2        0        1        0        0     1023        0        0 
 8:        0        0        2        1        0        1        0        0      969        1 
 9:        0        0        2        1        4        0        0        1        0     1001 
