Average: 0.891244
Micro Average: 0.891244
Macro Average: 0.891740
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:     2387       53       19       28        6        3       42        8        5       53 
 1:       57     2399       30       30       16        5        8       45        8        6 
 2:        4       17     2407       66       14       36        7       16        9       28 
 3:        7       36       52     2318       16      107       17       12       26       13 
 4:       13       94       52       60     2312       15       21        4       14       19 
 5:        2       16       39      122        9     2368       25        9       10        4 
 6:       52       20       13       70       16      115     2220        2       73       23 
 7:       11       87       53       75        3       26        4     2342        2        1 
 8:       14       31       39       96       13       39      110        5     2229       28 
 9:       70       23      116       56       13       36       24       10       30     2226 
