Average: 0.100000
Micro Average: 0.100000
Macro Average: 0.018182
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:     2604        0        0        0        0        0        0        0        0        0 
 1:     2604        0        0        0        0        0        0        0        0        0 
 2:     2604        0        0        0        0        0        0        0        0        0 
 3:     2604        0        0        0        0        0        0        0        0        0 
 4:     2604        0        0        0        0        0        0        0        0        0 
 5:     2604        0        0        0        0        0        0        0        0        0 
 6:     2604        0        0        0        0        0        0        0        0        0 
 7:     2604        0        0        0        0        0        0        0        0        0 
 8:     2604        0        0        0        0        0        0        0        0        0 
 9:     2604        0        0        0        0        0        0        0        0        0 
