Average: 0.915553
Micro Average: 0.915553
Macro Average: 0.915644
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:     2388       66       16       15       13        3       41        7        5       50 
 1:       11     2501       25       10       17        2        5       27        3        3 
 2:        6       19     2473       18       23       15        3       17        6       24 
 3:        5       43       47     2334       18       76       24       19       24       14 
 4:        3       73       31       13     2444        2       14        3        6       15 
 5:        1       21       33       94       15     2377       34       16        6        7 
 6:       29       28       15       41       27       67     2308        3       70       16 
 7:        6       91       48       16        7       11        5     2416        2        2 
 8:        7       31       39       65       19       16       84        5     2306       32 
 9:       48       33       84       40       21       24       18       13       29     2294 
