Average: 0.911598
Micro Average: 0.911598
Macro Average: 0.911743
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:     2344       96       18       15       17        0       55       12       14       33 
 1:       11     2503       21        9       24        1        8       21        5        1 
 2:        7       14     2472       26       21        4        2       24       13       21 
 3:        5       46       59     2311       19       86       22       14       28       14 
 4:        9       94       39       15     2415        6        7        3        6       10 
 5:        1       22       28       72       19     2382       52       10       15        3 
 6:       25       26       16       34       32       75     2325        6       56        9 
 7:       11       94       49       27        6        4        1     2400        8        4 
 8:       10       35       41       50       23       25       90        4     2291       35 
 9:       43       28       89       39       34       23       13       14       26     2295 
