Average: 0.923349
Micro Average: 0.923349
Macro Average: 0.923514
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:     2404       65       17       11       11        3       36        7       10       40 
 1:        6     2517       22       11       15        5        4       20        2        2 
 2:        5       15     2489       26       20       11        5       11        3       19 
 3:        5       45       39     2384       15       57       16       15       12       16 
 4:        2       73       28       15     2457        4        9        2        5        9 
 5:        1       23       39       78       11     2387       36       12        7       10 
 6:       28       28       14       42       20       57     2337        3       57       18 
 7:        5       95       45       24        9        8        3     2412        1        2 
 8:        6       30       31       60       24       12       70        5     2338       28 
 9:       42       33       80       38       22       20       14       12       24     2319 
