Average: 0.014049
Micro Average: 0.014049
Macro Average: 0.006916
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29
 0:        3        0        0        0        0        0        0        2        0        5        1        0        0        0        0        0        0        0        4        0        0        0        0        0        0        0        0        0        0        0 
 1:       17        0        0       14        4        0        0       19       10       17       23        0        0        1        0        0        0        0       16        0        0        0        2        9        0        1        0        9        0        0 
 2:        7        0        0        2       11        0        0        1        4       32       23        0        0        3        0        0        0        0      140        0        1        0        7        0        0        0        0        0        0        0 
 3:       44        0        0        1        3        1        0       27       52      114       17        0        0        8        1        1        0        0      203        0        0        0       22        7        0        0        0        3        0        0 
 4:       13        0        0        2        3        0        0        0       17       11        4        0        0        0        0        0        0        0       32        0        0        0        0        3        0        1        1        0        0        0 
 5:        1        0        0        0        1        0        0        0        5        3        0        0        0        0        0        0        0        0        1        2        0        0        0        1        0        2        0        0        0        0 
 6:       50        0        0        2       10        0        0        4      116       28      102        0        0        3        0        0        0        0      106        0        0        0        0       50        1       22        1        2        0        0 
 7:        3        0        0        0        0        0        0        2        1        5        2        0        0        0        0        0        0        0        1        0        0        0        0        2        0        0        0        0        0        0 
 8:        0        0        0        0        0        0        0        2        2       14        4        0        0        0        0        0        0        0        5        0        1        0        0        5        0        0        0        0        0        0 
 9:       11        0        0        0        0        0        0       11        2       27       14        0        0        2        0        1        0        0       24        0        0        0        0        9        0        1        0        1        0        0 
10:        0        0        0        0        0        0        0        4       17       52       16        0        0        0        0        0        0        0       10        0        0        0        0       14        0        2        0        3        0        0 
11:       25        0        0        0        1        0        0        2        1        5        6        0        0        1        0        1        0        0        0        0        0        0        0        1        0        0        0        0        0        0 
12:        0        0        0        1        0        0        0        1        2       10        1        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0 
13:        2        0        0        6        0        0        0        8       22       82       51        0        0        2        0        0        0        0       19        0        0        2        2        7        0        2        0        0        0        0 
14:        3        0        0        3        2        0        0       26       82      153      114        0        0        5        1        0        0        0       41        0        1        0        4        1        0        7        1        1        0        0 
15:        1        0        0       15       17        0        0       19        9       40       54        0        0        7        0        0        0        0       22        0        1        0        4        9        3        0        0        2        0        0 
16:        5        0        0       29        5        0        0        8       62       87       67        0        0        2        0        0        0        0       42        0        0        1        6       11        2       13        0        0        0        0 
17:        5        0        0        8        2        0        0       20       21      116       31        0        0        6        0        2        0        0       19        0        0        0       22       14        5        3        0        0        0        0 
18:        1        0        0        2        0        0        0        1        6        8        9        0        0        1        0        0        0        0       12        0        0        1        1        1        0        0        0        0        0        0 
19:        8        0        0       20       13        0        0       12       40       76       28        0        0        9        0        0        0        0       36        0        0        0        6       23        1        2        0        0        0        0 
20:       35        0        1        5       26        4        0        6      107       44      563        4        0        8        0        0        0        0      113        1        2        2        6       25        2        0        8        2        0        0 
21:       41        0        0        0        1        1        0        2       35       87      320        2        0        0        0        0        0        0      154        0        0        6        9        0        0        0        0        0        0        0 
22:        2        0        0        0        0        0        0        0        1        0       10        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
23:        6        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0 
24:        8        0        0        0        0        0        0        0        2        0        2        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        1        0        0        0 
25:       11        0        0        0        0        0        0        1        4        0        4        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
26:        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
27:       39        0        0        0        0        0        0        0       11        0        6        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        3        0        0        0 
28:       90        1        2        0        1        0        0        2       12        2        9        0        0        1        0        1        0        0        1        0        0        0        0        0        0        0        0        0        0        0 
29:       11        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0 
