Average: 0.887247
Micro Average: 0.887247
Macro Average: 0.829196
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29
 0:       15        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 1:        0      130        0        6        0        0        0        0        0        0        0        0        0        3        0        0        0        2        0        0        0        0        0        1        0        0        0        0        0        0 
 2:        0        0      197       21        0        0        0        0        0        0        0        0        0        0        0        0        0       12        0        0        0        0        0        1        0        0        0        0        0        0 
 3:        0        0        0      498        0        0        0        0        0        0        0        0        0        0        0        0        0        5        0        0        0        1        0        0        0        0        0        0        0        0 
 4:        0        0        0        0       83        0        0        0        0        1        0        0        0        0        1        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0 
 5:        0        0        0        0        1       15        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 6:        0        1        0        8       12        3      329       19        1       21        0        0        1        7       24        3        7       59        0        0        2        0        0        0        0        0        0        0        0        0 
 7:        0        0        0        0        0        0        0       16        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 8:        0        0        0        0        0        0        0        1       31        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 9:        0        0        0        1        0        0        0        0        6       96        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
10:        0        0        0        0        1        0        0        1        0        1      111        0        0        0        2        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0 
11:        0        0        0        0        0        0        0        0        0        0        0       43        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
12:        0        0        0        0        0        0        0        0        0        0        0        0       17        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
13:        0        0        0        1        0        0        0        1        0        4        0        0        7      179        0        1        3        1        8        0        0        0        0        0        0        0        0        0        0        0 
14:        0        0        0        0        1        1        0        1        0        2        0        0        3        0      408        0        0       26        0        0        0        0        0        2        0        0        0        0        0        1 
15:        0        0        0        0        0        1        0        0        0        1        0        0        0        1        0      200        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
16:        0        0        0        0        0        0        0        0        0        9        0        0        2        5        1       37      278        6        0        0        0        0        0        2        0        0        0        0        0        0 
17:        0        0        0        0        2        1        0        0        0        3        0        0        0        0        2        1        4      260        0        1        0        0        0        0        0        0        0        0        0        0 
18:        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        1       40        0        0        0        0        1        0        0        0        0        0        0 
19:        0        0        0        0        0        1        0        0        0        1        0        0        0        0        4        1        2       22        1      242        0        0        0        0        0        0        0        0        0        0 
20:        0        0        0       18        0        0        0        0        0        2        0        0        0        7        0        0        0      107        0        0      826        4        0        0        0        0        0        0        0        0 
21:        0        0        0        1        0        0        0        0        0        0        0        0        0        1        0        0        0        4        0        0        1      651        0        0        0        0        0        0        0        0 
22:        0        0        0        0        0        0        0        0        0        2        0        0        0        1        0        0        0        0        0        0        0        1        9        0        0        0        0        0        0        0 
23:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        8        0        0        0        0        0 
24:        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        3       10        0        0        0        0        0 
25:        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        4        0       14        0        0        0        0 
26:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0 
27:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        4        0        0        0        0        0        5        1        0        0       49        1        0 
28:        0        0        0        1        0        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0       11        1        0        0        0      106        0 
29:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        3        2        0        0        0        0        8 
