Average: 0.899106
Micro Average: 0.899106
Macro Average: 0.824998
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29
 0:       15        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 1:        1      126        1        3        0        7        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        1        0        0        0        0        0        0        0 
 2:        0        0      218        7        1        3        0        0        0        0        0        0        0        0        0        0        0        0        0        1        1        0        0        0        0        0        0        0        0        0 
 3:        6        0        0      485        0        5        0        1        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        2        1        0        0        1        0 
 4:        0        0        1        0       84        1        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 5:        0        0        0        0        1       15        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 6:        0        0        5        0      114       54      280        3        0       26        6        0        0        0        0        0        1        0        0        7        0        0        1        0        0        0        0        0        0        0 
 7:        0        0        0        0        0        0        0       16        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 8:        0        0        0        0        0        0        0        0       32        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 9:        0        0        0        0        0        0        0        0        5       98        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
10:        0        0        0        0        0        0        0        0        1        0      116        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
11:        0        0        0        0        0        1        0        0        0        0        0       42        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
12:        0        0        0        0        0        0        0        0        0        0        0        0       17        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
13:        0        0        0        0        0        4        0        0        0        3        0        0        1      193        0        1        0        0        2        1        0        0        0        0        0        0        0        0        0        0 
14:        1        0        0        0        0        8        0        2        0        0        0        0        0        0      423        0        0        0        1        8        0        0        0        0        1        0        0        0        1        0 
15:        0        0        0        0        1        6        0        0        0        8        0        0        0        0        1      187        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
16:        3        0        3        0        2       12        1        0        0        3        0        0        0       16        0        1      293        1        1        4        0        0        0        0        0        0        0        0        0        0 
17:        0        0        1        0        1        1        0        0        0        1        0        0        0        0        3        0        4      248        1       14        0        0        0        0        0        0        0        0        0        0 
18:        0        0        0        0        0        2        0        0        1        0        0        0        0        0        0        0        0        0       40        0        0        0        0        0        0        0        0        0        0        0 
19:        0        0        0        0        1        1        0        0        0        0        1        0        0        1        2        0        8        3        0      257        0        0        0        0        0        0        0        0        0        0 
20:        0        0        1        3        0       22       12        0        0        0        0        0        0        0        0        0        0        0        0        0      906       17        1        0        0        2        0        0        0        0 
21:        0        0        1        1        0        1       20        0        0        0        0        0        0        0        0        0        0        0        0        0        0      633        2        0        0        0        0        0        0        0 
22:        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       11        0        0        0        0        0        0        0 
23:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        7        2        0        0        0        0        0 
24:        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        4        8        0        0        0        0        0 
25:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        1       18        0        0        0        0 
26:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0 
27:        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        5        8        0       46        0        0 
28:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        1       11        0        0        0      106        1 
29:        0        0        0        0        0        1        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        5        0        0        0        0        7 
