Average: 0.990200
Micro Average: 0.990200
Macro Average: 0.990006
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:      977        0        0        0        0        0        1        1        0        1 
 1:        0     1134        1        0        0        0        0        0        0        0 
 2:        0        0     1019        1        0        7        2        3        0        0 
 3:        0        0        1      996        0        9        0        1        3        0 
 4:        0        0        0        0      977        0        0        0        1        4 
 5:        0        0        7        8        0      871        1        4        0        1 
 6:        9        6        0        0        0        1      941        0        1        0 
 7:        0        2        2        0        1        1        0     1022        0        0 
 8:        0        0        0        3        0        0        0        0      970        1 
 9:        1        0        1        3        4        2        0        3        0      995 
