Average: 0.987300
Micro Average: 0.987300
Macro Average: 0.987257
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:      974        0        2        0        0        1        1        2        0        0 
 1:        0     1134        1        0        0        0        0        0        0        0 
 2:        0        0      998       22        0        1        3        7        1        0 
 3:        0        0        1     1001        0        2        0        1        5        0 
 4:        0        0        0        0      973        0        0        0        1        8 
 5:        1        0        0        8        0      878        5        0        0        0 
 6:       10        1        0        0        2        0      944        0        1        0 
 7:        1        6        3        1        3        2        0     1010        0        2 
 8:        0        1        1        0        0        0        0        0      970        2 
 9:        1        1        3        0        5        2        0        4        2      991 
