Average: 0.896390
Micro Average: 0.896390
Macro Average: 0.896664
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:     2342       80       17       22        9        2       51        4        8       69 
 1:       10     2494       20       14       34        4        4       20        1        3 
 2:        4       26     2442       34       29       19        3       18        8       21 
 3:        6       57       58     2265       24       95       21       22       32       24 
 4:        7      103       36       19     2397        8       10        3        4       17 
 5:        2       27       46      131       18     2307       44        9       12        8 
 6:       38       34       19       41       24       59     2283        5       85       16 
 7:        7      142       44       33        7       18        4     2341        4        4 
 8:        7       58       35       72       22       13      138        5     2212       42 
 9:       47       35      106       43       29       23       16       11       35     2259 
