Average: 0.845929
Micro Average: 0.845929
Macro Average: 0.846023
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9
 0:     2435       32       16       22        2        5       35       11        2       44 
 1:      163     2219       37       32        4        5        9      120        2       13 
 2:       14       21     2293       71       12       63       11       43       11       65 
 3:       26       28       71     1987        5      257       50       54       86       40 
 4:       66      126       80      113     2052       20       48       14       25       60 
 5:        7       18       37       85        3     2336       66       20       14       18 
 6:      143       21       13       74        1       91     2162        6       70       23 
 7:       23       86       42       54        3       36        4     2349        0        7 
 8:      116       31       33       98        4       33      173       17     2031       68 
 9:      189       24       71       43        4       33       24       31       21     2164 
