Average: 0.990330
Micro Average: 0.990330
Macro Average: 0.968280
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29
 0:       15        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 1:        1      141        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 2:        0        0      231        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 3:        2        1        0      500        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0 
 4:        0        0        0        0       87        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 5:        0        0        0        0        0       16        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 6:        0        0        0        0        2        2      491        0        0        1        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 7:        0        0        0        0        0        0        0       16        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 8:        0        0        0        0        0        0        0        0       32        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 9:        0        0        0        0        0        0        0        0        4       99        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
10:        0        0        0        0        0        0        0        0        0        0      118        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
11:        0        0        0        0        0        0        0        0        0        0        0       43        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
12:        0        0        0        0        0        0        0        0        0        0        0        0       17        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
13:        0        0        0        0        0        0        0        0        0        0        0        0        0      203        0        1        0        0        0        1        0        0        0        0        0        0        0        0        0        0 
14:        0        0        0        0        0        0        2        0        0        0        0        0        0        0      438        0        0        1        1        3        0        0        0        0        0        0        0        0        0        0 
15:        0        0        0        0        0        0        0        0        0        0        0        0        0        1        1      200        1        0        0        0        0        0        0        0        0        0        0        0        0        0 
16:        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0      334        2        1        0        0        0        0        0        0        0        0        0        0        0 
17:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        2      270        0        1        0        0        0        0        0        0        0        0        0        0 
18:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       43        0        0        0        0        0        0        0        0        0        0        0 
19:        0        1        0        0        0        0        0        0        0        0        1        0        0        0        0        0        1        1        0      270        0        0        0        0        0        0        0        0        0        0 
20:        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      962        1        0        0        0        0        0        0        0        0 
21:        0        0        0        1        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0      656        0        0        0        0        0        0        0        0 
22:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       13        0        0        0        0        0        0        0 
23:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        9        0        0        0        0        0        0 
24:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        4        9        0        0        1        0        0 
25:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       18        0        1        0        1 
26:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0 
27:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       60        0        0 
28:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      122        0 
29:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       14 
